Function,Concurrency,Success,Failures,TotalTime(sec),TPS,AvgGas
bookSlot,10,10,0,0.321,31.15264797507788,56096.8
bookSlot,25,15,10,0.592,25.33783783783784,56110
bookSlot,50,25,25,1.189,21.026072329688812,56110
bookSlot,100,50,50,2.606,19.18649270913277,56110
releaseSlot,10,10,0,0.295,33.898305084745765,31969.8
releaseSlot,25,15,10,0.568,26.408450704225356,31971
releaseSlot,50,25,25,1.216,20.55921052631579,31971
releaseSlot,100,50,50,3.305,15.1285930408472,31971
getSlotStatus,10,10,0,0.176,56.81818181818182,0
getSlotStatus,25,25,0,0.358,69.83240223463687,0
getSlotStatus,50,50,0,0.48,104.16666666666667,0
getSlotStatus,100,100,0,0.863,115.87485515643105,0
