Function,Concurrency,Success,Failures,TotalTime(sec),TPS,AvgGas
bookSlot,10,10,0,0.335,29.850746268656714,117484
bookSlot,25,15,10,1.233,12.1654501216545,153836.53333333333
bookSlot,50,25,25,3.52,7.1022727272727275,257482.08
bookSlot,100,36,64,22.281,1.6157264036623133,312731.25
releaseSlot,10,0,10,3.953,0,0
releaseSlot,25,0,25,4.311,0,0
releaseSlot,50,0,50,5.223,0,0
releaseSlot,100,0,100,7.193,0,0
getWaitlist,10,10,0,4.338,2.305209774089442,0
getWaitlist,25,25,0,9.594,2.6057952887221183,0
getWaitlist,50,50,0,19.595,2.551671344730799,0
getWaitlist,100,100,0,36.02,2.7762354247640197,0
