Function,Concurrency,Success,Failures,TotalTime(sec),TPS,AvgGas
addToWaitlist,10,10,0,0.219,45.662100456621005,76735
addToWaitlist,25,15,10,0.417,35.97122302158274,75024.2
addToWaitlist,50,25,25,0.826,30.26634382566586,75024.52
addToWaitlist,100,49,51,1.85,26.486486486486484,75023.77551020408
removeFromWaitlist,10,10,0,0.247,40.48582995951417,42643
removeFromWaitlist,25,15,10,0.678,22.123893805309734,42642.2
removeFromWaitlist,50,25,25,1.972,12.677484787018257,42260.8
removeFromWaitlist,100,49,51,3.721,13.168503090567052,42252.26530612245
prioritize,10,0,10,0.009,0,0
prioritize,25,0,25,0.025,0,0
prioritize,50,0,50,0.117,0,0
prioritize,100,0,100,0.284,0,0
