Run,Timestamp,LatencySeconds
1,2026-02-22T11:09:49.168Z,5.118
2,2026-02-22T11:12:59.839Z,10.758
3,2026-02-22T11:16:12.846Z,12.09
4,2026-02-22T11:19:24.584Z,11.104
5,2026-02-22T11:22:36.292Z,11.396
6,2026-02-22T11:25:47.861Z,11.695
7,2026-02-22T11:29:00.401Z,12.12
8,2026-02-22T11:32:12.015Z,11.582
9,2026-02-22T11:35:24.797Z,11.956
10,2026-02-22T11:38:36.364Z,11.179
11,2026-02-22T11:41:47.967Z,11.621
12,2026-02-22T11:45:00.516Z,12.023
13,2026-02-22T11:50:00.080Z,12.4
14,2026-02-22T11:53:11.715Z,11.91
15,2026-02-22T11:56:37.617Z,24.271
16,2026-02-22T11:59:49.191Z,10.365
17,2026-02-22T12:03:00.182Z,10.597
18,2026-02-22T12:06:12.882Z,11.784
19,2026-02-22T12:09:24.418Z,11.094
20,2026-02-22T12:12:35.765Z,6.893




Statistic,Value
Mean,11.597800000000001
SD,3.481404247834788
95% CI,1.5257926848417618
p90,12.4
p95,24.271
