Run,Timestamp,LatencySeconds
1,10.14,0xcb8c3211cb654b766f3a56a1f4de26629e1fdb4a670f471f5101fc13503c9a48
2,10.994,0x95b492f711eba25025c5aeb577ac16d327fb4ce8697d309efa01393b829e8a18
3,22.1,0x583401c86a40a82ab4a46ae19b2b0a6e74562d3099dfb105ea208f08d35f8b8a
4,10.606,0x1bbd930686ff630402679b4ab1498623a1369e34d4c0d4f1ba128481ecfb1b4f
5,10.135,0xb7aa8f95b197fcfc6bd583ea16f7e0210629a3e077679165d0cb5db773457c20
6,10.459,0x45379a1a4379c4ee70629206c017bf03b0491c2390ea7755d38b2d2021129374
7,10.658,0x57f296de40b3930d38a7a608f1ce8405a62417cdb7cf4407be9cf495042f7767
8,10.195,0xd1704c414410277383804c2ca1451384adb3172cff82fecfcf84a0d4e4bd6753
9,9.98,0x699d2c065d7bde364a3633bdb5f5c4211b67fce4007afb8209501eac103a8fac
10,9.527,0x09330c861d3444f629d56d76506a8c9f018064ff52a418cb647094c6e3404063
11,9.584,0xe7aeab2ec105d7450c3fca4f5540a3b9986f2400802ed45da7b7af99c88dee5e
12,10.507,0x7948c533c5401b77067b1f1929b3e87db285c3a3dfc14842ea171a6f02ba06f9
13,9.474,0x9673923c15d05a3fc8d2b67ac75da2fdc74c6163cb26dde6b67d4645fc996d7c
14,10.31,0xe3634dae6c1f04189cd532a25120ecf4e2411901b25e78d6eb57b121cd411c34
15,10.135,0xe97759f3707e70552e87467373e3f7632041ac2d61f5d72dae21815201058446
16,10.851,0xecc706f1f013dd300eeb46d1353af6ae0e39644beadcae30452fd7254543cf17
17,10.35,0xc6e7c1cd74dd6ec9495f93609439ece5143f5b562d2da3a82617e1d6d84e1912
18,10.136,0x649f7d0742ecd5c2c923ab5143ad130406e0bb4f9653353f775c2234a5e04362
19,10.159,0x8460b5f232d6bc90b9ef09d616c649c50fae6efb126e85873c461fa1b5a2afd4
20,9.316,0xf53f17b891685e53f8b5e2752e6d086734ca406fb560ba7fbcc8316c7cd0b7d1

Statistic,Value
Mean,10.7808
SD,2.7018060548260565
95% CI,1.1841187121198709
p90,10.994
p95,22.1
