Run,Timestamp,LatencySeconds
1,2026-02-22T15:40:24.813Z,5.202
2,2026-02-22T15:43:36.554Z,11.118
3,2026-02-22T15:46:48.292Z,11.363
4,2026-02-22T15:50:01.289Z,11.647
5,2026-02-22T15:53:11.990Z,10.579
6,2026-02-22T15:56:25.816Z,11.978
7,2026-02-22T15:59:37.612Z,10.16
8,2026-02-22T16:02:48.203Z,10.37
9,2026-02-22T16:06:00.883Z,11.785
10,2026-02-22T16:09:13.737Z,11.099
11,2026-02-22T16:12:25.275Z,10.254
12,2026-02-22T16:15:36.904Z,10.709
13,2026-02-22T16:18:48.598Z,11.084
14,2026-02-22T16:22:01.249Z,11.39
15,2026-02-22T16:25:12.842Z,10.743
16,2026-02-22T16:28:24.778Z,11.142
17,2026-02-22T16:31:36.374Z,11.203
18,2026-02-22T16:35:01.240Z,14.841
19,2026-02-22T16:38:12.049Z,10.717
20,2026-02-22T16:41:24.722Z,11.935


Statistic,Value
Mean,10.965950000000001
SD,1.6804689030775088
95% CI,0.7364979694657398
p90,11.978
p95,14.841
