Run,Latency(s),TxHash
1,12.392,0xaf7aa41b003e4e908c6de18d5443cf86981d6d4334afd98bcadd91bc29abb19e
2,10.05,0x56bd0deaf214383f870971e41160842c931248073d97aa4e21c1926827107b1f
3,8.875,0x736d51f2054f8ac09bf5b692b6711aa4ff65d5f6dd00766db9ecb25eee200ef6
4,10.651,0xa8d610e8157c628b8888a24a3ea4bb5e8fa7fa44313aba3296816d5dc2ceda2f
5,9.839,0xf80355bbc051bca83c0546526bf33266e367fc268604cd11b6cafe308fa16ca4
6,10.21,0x3959497d893fd4feb7b1ea57357f40b911401aa8968ebd66ecb3bb2f45eb544a
7,9.015,0x4f10c911bf0662713aa8011c8f8793d8a96f628b152847ea03f55f839e099b88
8,9.995,0x503f3563f23df4fa8f80d7bcfc1228abfa035a1988716a8e78207b84d9bb8081
9,9.614,0xfc001802f5cc9a19c07ea53c0ed6cb3e8a6145df62bdd4e874e43c17c0983ead
10,10.02,0xc8ea4499c575072fc94a34b7ce30f69222e7e94cdff36363beec92c4109c299e
11,10.399,0xac0ca78ed38365a6214b68171dd569c5ba1df365d028543772000c073615ec4c
12,10.381,0x0770842638657f8a3f281eda499dde8c7f40d2ee24bb82321c38c8748768aa15
13,10.088,0x1e95ae7e98af70f67a77c5f3d92176e6517242c5263d2033cc02fbb14feea77a
14,9.63,0x30439b1d7e9291846904895d785922885bc35b7cc0730896cc4e4ab8b92b7aaa
15,10.161,0x5512519886871ee89bc1b745692b6de59d486e2b32f1854bd38af4f919ddbec3
16,10.235,0x3dcb5b6643d0f572ee7697d8ee65d974a634734c469ad52ede38515d7b1059e6
17,10.437,0xd5f40b43b0deef6a045c00c7f10396f891bc4bffe0806e1fcbd28d75f69a7211
18,9.958,0xa989e1cc8c8bbdbae1a9012ae8d01f105e4a94fa0ee58a7f0cf80e65be420fdc
19,8.953,0x913c70bc7a8e72080c8a53de7c836f4bbc9f75f46fe94e365701e1475f4c50af
20,9.982,0xe8061ced68dfa9e891050411bc46862eed43ef9f959c13ec76884a3b5274c354


Statistic,Value
Mean,10.044250000000002
SD,0.7392568725985645
95% CI,0.3239936095130012
p90,10.651
p95,12.392
