Run,Timestamp,LatencySeconds
1,2026-02-22T12:33:00.827Z,11.717
2,2026-02-22T12:36:24.778Z,11.764
3,2026-02-22T12:39:48.912Z,10.784
4,2026-02-22T12:43:13.003Z,11.716
5,2026-02-22T12:46:35.920Z,11.655
6,2026-02-22T12:50:01.832Z,11.733
7,2026-02-22T12:53:24.572Z,11.878
8,2026-02-22T12:56:48.340Z,12.177
9,2026-02-22T13:00:12.259Z,11.329
10,2026-02-22T13:03:36.053Z,11.514
11,2026-02-22T13:07:00.871Z,11.663
12,2026-02-22T13:10:24.679Z,10.883
13,2026-02-22T13:13:48.453Z,12.062
14,2026-02-22T13:17:12.176Z,11.311
15,2026-02-22T13:20:36.821Z,11.598
16,2026-02-22T13:24:00.817Z,11.982
17,2026-02-22T13:27:24.477Z,12.038
18,2026-02-22T13:47:37.158Z,11.651
19,2026-02-22T13:50:59.871Z,11.695
20,2026-02-22T14:10:36.583Z,12.033


Statistic,Value
Mean,11.659150000000002
SD,0.36372318494035794
95% CI,0.15940871423779615
p90,12.062
p95,12.177
