Run,Timestamp,LatencySeconds
1,2026-02-22T08:29:25.471Z,9.675
2,2026-02-22T08:36:13.924Z,9.677
3,2026-02-22T08:39:37.626Z,10.879
4,2026-02-22T08:43:02.233Z,10.772
5,2026-02-22T08:46:25.625Z,10.252
6,2026-02-22T08:49:50.608Z,10.389
7,2026-02-22T08:53:14.113Z,10.098
8,2026-02-22T08:56:38.211Z,10.866
9,2026-02-22T09:00:09.450Z,10.646
10,2026-02-22T09:03:29.928Z,9.609
11,2026-02-22T09:06:51.485Z,9.543
12,2026-02-22T09:10:15.362Z,9.386
13,2026-02-22T09:18:50.209Z,10.423
14,2026-02-22T09:22:14.214Z,10.455
15,2026-02-22T09:25:38.323Z,10.225
16,2026-02-22T09:29:02.286Z,10.211
17,2026-02-22T09:43:14.871Z,8.642
18,2026-02-22T09:46:38.762Z,10.835
19,2026-02-22T09:50:13.779Z,20.999
20,2026-02-22T09:53:37.690Z,9.936


Statistic,Value
Mean,10.675900000000002
SD,2.49817592191625
95% CI,1.0948738715069564
p90,10.879
p95,20.999
