Timestamp,LatencySeconds
2026-02-22T06:23:14.920Z,10.757
1,2026-02-22T06:26:38.772Z,10.65
2,2026-02-22T06:27:14.510Z,10.042
3,2026-02-22T06:36:25.793Z,10.741
4,2026-02-22T06:39:49.603Z,10.964
5,2026-02-22T06:43:13.491Z,10.034
6,2026-02-22T06:46:38.181Z,10.298
7,2026-02-22T06:50:01.988Z,10.484
8,2026-02-22T07:04:38.579Z,10.523
9,2026-02-22T07:08:03.080Z,9.559
10,2026-02-22T07:11:26.176Z,10.446
11,2026-02-22T07:14:49.670Z,9.109
12,2026-02-22T07:18:14.033Z,8.069
13,2026-02-22T07:21:38.058Z,10.629
14,2026-02-22T07:25:01.503Z,10.261
15,2026-02-22T07:28:25.740Z,9.998
16,2026-02-22T07:31:50.698Z,9.953
17,2026-02-22T07:35:14.661Z,10.959
18,2026-02-22T07:40:02.226Z,10.488
19,2026-02-22T07:43:26.205Z,10.439
20,2026-02-22T07:49:26.060Z,10.65


Statistic,Value
Mean,10.214799999999999
SD,0.6779483445622806
95% CI,0.29712396240024297
p90,10.959
p95,10.964
